brightness,      y,      x, calibrated magnitude
8.957549e+03,   2555,   1770, 1.541953e+01
9.973750e+03,   3436,   1839, 1.530285e+01
1.519288e+04,   2674,   1944, 1.484590e+01
1.740416e+04,   4162,   1965, 1.469837e+01
1.714788e+04,   3861,   1153, 1.471447e+01
8.975905e+03,   4099,   1574, 1.541730e+01
1.335594e+04,   1793,   1644, 1.498581e+01
1.531669e+04,   1773,   1799, 1.483709e+01
1.408750e+02,   4357,   2251, 1.992792e+01
   129,   3188,   1197, 2.002353e+01
1.804219e+04,    600,   2288, 1.465928e+01
9.898335e+03,   1049,   1997, 1.531109e+01
2.884260e+04,    491,   2279, 1.414991e+01
1.207194e+04,   1969,   2253, 1.509556e+01
1.311250e+02,   4358,   2253, 2.000579e+01
   343,   3500,   1418, 1.896176e+01
1.135306e+04,   1397,   1634, 1.516222e+01
2.345385e+04,    600,   2155, 1.437446e+01
1.175644e+04,   2342,   1360, 1.512431e+01
   163,   4359,   2252, 1.976953e+01
6.861250e+03,   3522,    202, 1.570899e+01
1.149921e+04,   4247,    926, 1.514833e+01
1.844701e+04,   1305,   1112, 1.463519e+01
8.026192e+03,   1436,   2194, 1.553873e+01
1.689452e+04,   3417,   1242, 1.473064e+01
   301,   1785,   1398, 1.910358e+01
6.405403e+03,    988,   1587, 1.578363e+01
9.094062e+03,    429,    348, 1.540311e+01
9.688729e+03,   1714,    678, 1.533433e+01
1.067088e+04,   1070,   1018, 1.522950e+01
6.573625e+03,   2872,   1175, 1.575549e+01
2.173581e+03,    391,   1422, 1.695706e+01
2.300937e+04,    274,   1883, 1.439524e+01
5.425000e+02,    508,   1272, 1.846400e+01
7.869631e+03,   4388,   1342, 1.556011e+01
1.989128e+04,   1682,    788, 1.455334e+01
1.433080e+04,    765,   1249, 1.490932e+01
1.852500e+02,   3504,   1418, 1.963060e+01
7.728070e+03,   4058,   1968, 1.557982e+01
6.520899e+03,   1474,   2007, 1.576423e+01
5.327500e+02,   3190,   1199, 1.848369e+01
8.605810e+03,   2364,    689, 1.546302e+01
2.219279e+04,    848,   2344, 1.443447e+01
1.880883e+04,    406,    503, 1.461410e+01
1.345450e+04,   1941,   2022, 1.497783e+01
1.425860e+04,    478,    214, 1.491481e+01
9.261813e+03,   4310,    433, 1.538326e+01
1.536859e+04,   3219,    525, 1.483341e+01
2.615000e+02,   1766,   1409, 1.925632e+01
1.067788e+04,   2806,   1507, 1.522879e+01
1.012333e+04,   2638,   2292, 1.528669e+01
2.457500e+02,   3184,   1197, 1.932377e+01
8.105000e+02,   1769,   1793, 1.802812e+01
6.905280e+03,   1611,   2120, 1.570205e+01
1.214012e+04,   2799,   2204, 1.508944e+01
7.230576e+03,   3158,    485, 1.565207e+01
9.372317e+03,    891,    744, 1.537038e+01
   195,   1770,   1402, 1.957491e+01
8.105793e+03,   2741,   2000, 1.552801e+01
1.143442e+04,   2243,   2050, 1.515446e+01
6.740003e+03,   3739,    518, 1.572835e+01
5.129937e+04,   1305,   2069, 1.352472e+01
