brightness,      y,      x, calibrated magnitude
2.887629e+04,   2045,   1165, 1.414865e+01
1.006204e+04,   2200,    617, 1.529328e+01
6.403426e+02,   1771,   1403, 1.828397e+01
9.149452e+03,   3238,   1795, 1.539651e+01
4.011359e+04,   2772,   1934, 1.379177e+01
2.335154e+04,   2931,    775, 1.437921e+01
1.712227e+04,    282,   1959, 1.471610e+01
2.117574e+04,   3295,   2359, 1.448540e+01
2.350501e+04,    252,    257, 1.437210e+01
8.231979e+03,   3345,    944, 1.551124e+01
1.455034e+04,   2276,   2265, 1.489282e+01
9.019075e+03,   3604,    595, 1.541210e+01
2.132041e+04,    877,   1883, 1.447801e+01
1.130467e+04,   2383,    406, 1.516686e+01
1.909745e+04,   1659,    488, 1.459756e+01
2.020583e+03,   3503,   1418, 1.703631e+01
9.650904e+03,   1460,   1793, 1.533858e+01
1.471286e+04,   2635,   2041, 1.488076e+01
2.024356e+04,   1696,   1135, 1.453428e+01
3.077824e+03,   2601,   1710, 1.657939e+01
1.063380e+04,   1971,   1831, 1.523328e+01
1.093951e+04,   1817,   2219, 1.520251e+01
1.137363e+04,   3139,    520, 1.516025e+01
1.692300e+04,   1112,    650, 1.472881e+01
1.029578e+04,   3315,   2070, 1.526835e+01
7.496187e+03,   1827,   2356, 1.561290e+01
1.483641e+04,   3260,    562, 1.487168e+01
9.721444e+03,   3116,   1211, 1.533067e+01
1.076889e+04,   4130,   2027, 1.521957e+01
4.543247e+04,   3159,   2047, 1.365658e+01
1.441266e+04,   1963,    374, 1.490314e+01
1.418861e+03,   1923,   1063, 1.742015e+01
1.506664e+04,   4353,   1965, 1.485496e+01
1.464181e+04,   1131,   1914, 1.488601e+01
1.188541e+04,   4079,   1845, 1.511246e+01
1.278383e+04,   1785,    823, 1.503335e+01
2.273628e+04,   2276,   1645, 1.440820e+01
9.585979e+03,    560,   2118, 1.534591e+01
2.667370e+04,   3606,    677, 1.423479e+01
2.761444e+03,    511,   1272, 1.669716e+01
7.676696e+03,   2324,   2363, 1.558706e+01
9.114247e+03,   1528,    303, 1.540070e+01
1.662534e+04,   1175,    941, 1.474807e+01
7.871703e+03,   3434,   2311, 1.555983e+01
1.521593e+04,   1476,   1125, 1.484425e+01
1.697917e+04,   4064,   1523, 1.472521e+01
1.521679e+04,   1919,   1519, 1.484419e+01
8.750265e+03,   3724,   2085, 1.544495e+01
1.350644e+04,   2884,   1504, 1.497365e+01
9.040992e+03,   2555,   1770, 1.540946e+01
1.093347e+04,   3436,   1839, 1.520310e+01
1.645490e+04,   2674,   1944, 1.475926e+01
1.871704e+04,   4162,   1965, 1.461941e+01
1.938797e+04,   3861,   1153, 1.458117e+01
1.024985e+04,   4099,   1574, 1.527321e+01
1.557266e+04,   1793,   1644, 1.481909e+01
2.007486e+04,   1773,   1799, 1.454337e+01
2.311383e+04,    600,   2288, 1.439032e+01
1.121458e+04,   1049,   1997, 1.517554e+01
3.829065e+04,    491,   2279, 1.384227e+01
1.507960e+04,   1969,   2253, 1.485403e+01
2.075700e+03,   1766,   1421, 1.700709e+01
1.213901e+04,   1397,   1634, 1.508954e+01
2.246908e+04,    600,   2155, 1.442104e+01
1.304671e+04,   2342,   1360, 1.501125e+01
6.889056e+03,   3522,    202, 1.570460e+01
1.607405e+04,    490,   1313, 1.478469e+01
1.276197e+04,   4247,    926, 1.503521e+01
2.031213e+04,   1305,   1112, 1.453061e+01
8.584259e+02,   1798,   1409, 1.796574e+01
8.454968e+03,   1436,   2194, 1.548222e+01
1.660368e+04,   3417,   1242, 1.474949e+01
1.475528e+03,   1799,   1418, 1.737763e+01
8.284576e+03,    988,   1587, 1.550432e+01
9.419929e+03,    429,    348, 1.536488e+01
1.086748e+04,   1714,    678, 1.520968e+01
1.107653e+04,   1070,   1018, 1.518899e+01
